"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.609018625E0,-3.441478312E-2,8.403903246E-2,8.496502787E-2
2.619058625E0,-1.684084721E-2,8.998213708E-2,9.004979581E-2
2.629129625E0,-1.043383032E-2,8.094587177E-2,9.015373886E-2
2.639169625E0,-1.366983727E-2,6.611979008E-2,8.447561413E-2
2.649210625E0,-1.652364805E-2,5.023702234E-2,7.543215156E-2
2.659250625E0,-1.670740545E-2,4.279135168E-2,7.057268173E-2
2.669290625E0,-9.361723438E-3,4.232006148E-2,6.356106699E-2
2.679331625E0,-4.305690527E-5,4.101032019E-2,6.461461633E-2
2.689371625E0,7.754862309E-3,4.954003543E-2,6.376939267E-2
2.699442625E0,7.299762219E-4,5.531110615E-2,5.628404766E-2
2.709482625E0,-1.135389879E-2,5.317024887E-2,4.431417584E-2
2.719522625E0,-1.763070561E-2,4.846497625E-2,3.331798315E-2
2.729562625E0,-1.101962477E-2,3.747990727E-2,2.523478493E-2
2.739603625E0,1.837611198E-4,3.228195012E-2,2.088371292E-2
2.749643625E0,1.886335574E-2,2.440392599E-2,1.418219600E-2
2.759683625E0,3.665513545E-2,2.420445532E-2,1.166923717E-2
2.769754625E0,5.078356713E-2,2.726498060E-2,8.733758703E-3
2.779794625E0,5.983459204E-2,3.785184026E-2,9.949225001E-3
2.789835625E0,6.077754498E-2,4.322987050E-2,1.111167483E-2
2.799875625E0,6.157409400E-2,4.978977144E-2,1.260597445E-2
2.809915625E0,5.434156954E-2,4.932250082E-2,1.419821754E-2
2.819956625E0,5.509550869E-2,5.239632726E-2,1.983293332E-2
2.830026625E0,5.334609002E-2,5.814012885E-2,2.809504233E-2
2.840067625E0,5.338257551E-2,7.089321315E-2,3.834528103E-2
2.850107625E0,4.821901768E-2,7.353897393E-2,4.675040394E-2
2.860147625E0,3.688060492E-2,7.287025452E-2,5.183357745E-2
2.870187625E0,3.165581822E-2,7.359832525E-2,4.961358383E-2
2.880228625E0,2.853006497E-2,7.734246552E-2,4.036016390E-2
2.890268625E0,3.139959648E-2,8.239872009E-2,2.778632008E-2
2.900339625E0,3.232424706E-2,8.391618729E-2,1.637840457E-2
2.910379625E0,3.612884879E-2,8.240604401E-2,7.183915004E-3
2.920419625E0,3.563483059E-2,8.414082229E-2,4.792928696E-3
2.930446750E0,2.489947900E-2,7.914303988E-2,1.634997083E-3
