"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.617075625E0,-1.794618073E0,-7.398963776E0,6.825805664E0
2.627115625E0,-1.796414337E0,-7.347919922E0,6.890770569E0
2.637155625E0,-1.852547607E0,-7.244185638E0,6.904541931E0
2.647196625E0,-1.902244263E0,-7.092251587E0,6.864275665E0
2.657236625E0,-1.938319244E0,-6.956483917E0,6.776408386E0
2.667276625E0,-2.019001465E0,-6.878196716E0,6.652316437E0
2.677316625E0,-2.132465515E0,-6.847211151E0,6.525979156E0
2.687387625E0,-2.113604736E0,-6.804250488E0,6.409221954E0
2.697427625E0,-2.132914581E0,-6.773564301E0,6.367758179E0
2.707468625E0,-2.179168396E0,-6.781797180E0,6.431076508E0
2.717508625E0,-2.171085205E0,-6.801406403E0,6.549031219E0
2.727548625E0,-2.165397034E0,-6.824308777E0,6.663992157E0
2.737589625E0,-2.219734039E0,-6.854994965E0,6.725364532E0
2.747629625E0,-2.311642914E0,-6.901248779E0,6.762936401E0
2.757700625E0,-2.371069336E0,-6.925498352E0,6.726861420E0
2.767740625E0,-2.355202332E0,-6.917415161E0,6.623875580E0
2.777780625E0,-2.302062836E0,-6.881789246E0,6.525530090E0
2.787821625E0,-2.222877502E0,-6.832841034E0,6.484515381E0
2.797861625E0,-2.133812714E0,-6.782395935E0,6.492448883E0
2.807901625E0,-2.014660492E0,-6.728957062E0,6.603068848E0
2.817972625E0,-1.998643799E0,-6.707401886E0,6.711593170E0
2.828012625E0,-1.999541931E0,-6.716981964E0,6.777905273E0
2.838052625E0,-1.959125977E0,-6.715335388E0,6.827452240E0
2.848093625E0,-1.958826599E0,-6.715634766E0,6.836134186E0
2.858133625E0,-1.985321503E0,-6.715784454E0,6.807244263E0
2.868173625E0,-1.996697845E0,-6.692732391E0,6.752009125E0
2.878214625E0,-2.095791779E0,-6.710844727E0,6.692882080E0
2.888284625E0,-2.133064270E0,-6.727609863E0,6.678511963E0
2.898325625E0,-2.145488434E0,-6.755451965E0,6.675967255E0
2.908365625E0,-2.159259796E0,-6.768624573E0,6.719975739E0
2.918405625E0,-2.186054077E0,-6.748266907E0,6.742129669E0
2.928432750E0,-2.239343262E0,-6.725364532E0,6.774612122E0
2.938472750E0,-2.296524353E0,-6.716832275E0,6.819967804E0
2.948512750E0,-2.338586884E0,-6.714137878E0,6.805897064E0
2.958583750E0,-2.380649414E0,-6.701264648E0,6.780749359E0
2.968623750E0,-2.387834473E0,-6.707401886E0,6.733747101E0
2.978663750E0,-2.382146301E0,-6.721023560E0,6.698121185E0
2.988704750E0,-2.371219025E0,-6.763834534E0,6.676116943E0
2.998744750E0,-2.307900696E0,-6.796017609E0,6.667285309E0
3.008784750E0,-2.252815247E0,-6.807843018E0,6.677763519E0
3.018855750E0,-2.533481598E0,-6.658753052E0,6.677015076E0
3.028895750E0,-2.475701752E0,-6.524482269E0,6.638096008E0
3.038936750E0,-2.325563965E0,-6.468947754E0,6.632856903E0
3.048976750E0,-2.345173187E0,-6.400540009E0,6.681505737E0
3.059016750E0,-2.367327118E0,-6.355783081E0,6.731651459E0
3.069057750E0,-2.387984161E0,-6.387517090E0,6.766977997E0
3.079097750E0,-2.394720154E0,-6.512357483E0,6.737040253E0
3.089168750E0,-2.359692993E0,-6.666387177E0,6.678362274E0
3.099208750E0,-2.353705444E0,-6.782845001E0,6.584806824E0
3.109248750E0,-2.305805054E0,-6.846911774E0,6.516848145E0
3.119288750E0,-2.222278748E0,-6.853049011E0,6.528523865E0
3.129329750E0,-2.173031158E0,-6.815028076E0,6.599326630E0
3.139369750E0,-2.137554932E0,-6.816974030E0,6.685098267E0
3.149409750E0,-2.116448822E0,-6.887028351E0,6.714586945E0
