"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.574867449E2,4.701423340E0,-1.040725800E1,1.052281769E1
1.574967849E2,7.114255829E0,-1.697904190E1,1.570129898E1
1.575068259E2,8.314909058E0,-2.513273621E1,1.934966217E1
1.575168659E2,8.998238068E0,-3.181888229E1,1.615051483E1
1.575269369E2,8.536298676E0,-3.423949860E1,3.553909607E0
1.575369769E2,6.875352631E0,-3.027604065E1,-1.647339340E1
1.575470169E2,7.182663574E0,-2.158900543E1,-2.536355621E1
1.575570615E2,6.972350922E0,-1.478595245E1,-2.147314636E1
1.575671025E2,5.624254303E0,-1.209859085E1,-1.141870468E1
1.575771735E2,4.937183075E0,-1.198976715E1,-2.516117706E0
1.575872135E2,4.351600800E0,-1.099328934E1,2.857258301E0
1.575972535E2,2.622845764E0,-9.406588898E0,3.823049927E0
1.576072935E2,1.576222229E-1,-8.722062378E0,1.777703247E0
1.576173345E2,-1.497635651E0,-9.161698151E0,8.532257080E-1
1.576274045E2,-1.627565460E0,-8.618028717E0,8.011340332E-1
1.576374455E2,-5.754034424E-1,-6.537056122E0,9.128018188E-1
1.576474855E2,8.150550842E-1,-3.911515961E0,1.646575928E0
1.576575255E2,1.666185150E0,-1.248254242E0,2.154918823E0
1.576675665E2,1.929188232E0,1.033151550E0,1.479223938E0
1.576776365E2,1.754800873E0,2.621797943E0,3.760180664E-1
1.576876775E2,1.080602875E0,3.406915283E0,-3.525169373E-1
1.576977175E2,-2.200424194E-2,3.154390411E0,3.394940186E-1
1.577077575E2,-9.383985901E-1,1.758842468E0,1.265767822E0
1.577177985E2,-1.368454285E0,7.544311523E-2,1.437161407E0
1.577278685E2,-1.469943237E0,-1.386865997E0,9.360035706E-1
1.577379095E2,-1.082548828E0,-2.942281494E0,7.949967957E-1
1.577479495E2,-8.985813904E-1,-4.784350891E0,1.664688263E0
1.577579895E2,-1.493893433E0,-8.929530945E0,1.817670135E0
1.577680295E2,-2.653531952E0,-1.356449249E1,1.137634277E-2
1.577780705E2,-5.175487518E0,-1.964439926E1,-3.176843719E0
1.577881415E2,-1.002375549E1,-2.909320038E1,-7.415728912E0
1.577981815E2,-1.478101273E1,-3.848212601E1,-9.777218170E0
1.578082215E2,-1.820319626E1,-4.660199066E1,-1.239407639E1
1.578182615E2,-1.918934555E1,-4.833388916E1,-1.403182068E1
1.578283025E2,-1.491887604E1,-3.652135345E1,-8.886420593E0
1.578383725E2,-7.614515533E0,-2.287213715E1,-4.247567139E0
1.578484135E2,-8.491841125E-1,-1.243089981E1,-5.082381134E0
1.578584535E2,3.688030701E0,-4.134851532E0,-8.134983215E0
1.578684935E2,5.834267578E0,-5.598358154E-1,-8.848249969E0
1.578785345E2,6.668333130E0,-5.876779175E-1,-6.483766937E0
1.578886045E2,6.786138153E0,-1.020278320E0,-3.939657440E0
1.578986455E2,6.425238647E0,-6.345304871E-1,-2.681972809E0
1.579086855E2,5.873186646E0,-2.188449097E-1,-2.806813202E0
1.579187255E2,5.499862976E0,1.354682922E-1,-1.737736359E0
1.579287665E2,5.359604645E0,2.842588806E-1,4.445755005E-2
1.579388365E2,5.499563599E0,4.553530884E-1,1.954186249E0
1.579488775E2,5.732479248E0,7.119195557E-1,3.260968781E0
1.579589175E2,5.589975586E0,8.165519714E-1,3.605851593E0
1.579689575E2,4.998106384E0,1.742526398E0,3.583997040E0
1.579789975E2,3.792962494E0,3.651057587E0,1.754351807E0
1.579890385E2,2.346071320E0,4.666994934E0,-5.068460083E-1
1.579991095E2,7.732919312E-1,4.821324005E0,-1.630259857E0
1.580091495E2,-3.203338623E-1,4.409081268E0,-6.926097107E-1
1.580191895E2,-8.358618164E-1,3.585942993E0,2.186802521E0
1.580292295E2,-1.236877899E0,2.922971649E0,2.830014954E0
1.580392705E2,-1.464105377E0,7.197033691E-1,3.281476135E0
1.580493415E2,-6.713539124E-1,-4.805457001E0,6.005062408E0
