"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.757795625E0,1.019070894E-1,-1.763602197E-1,3.160056770E-1
3.767866625E0,-1.190474927E-1,-3.805047274E-1,3.757465780E-1
3.777906625E0,8.455623686E-2,-8.200208545E-1,2.799031436E-1
3.787946625E0,6.190493107E-1,-1.157573223E0,1.636477858E-1
3.797986625E0,1.286772728E0,-1.080594897E0,-1.503908336E-1
3.808027625E0,1.900565863E0,-4.885374010E-1,-4.867931008E-1
3.818067625E0,2.404857159E0,3.207325339E-1,-7.117553949E-1
3.828138625E0,2.838139296E0,1.037040710E0,-7.781912088E-1
3.838178625E0,3.069381237E0,1.644044399E0,-7.344272137E-1
3.848218625E0,2.827672005E0,2.333074093E0,-5.531954765E-1
3.858259625E0,1.787534833E0,2.695802212E0,1.100266911E-2
3.868299625E0,-4.157450199E-1,1.709526539E0,1.009698868E0
3.878370625E0,-1.817704558E0,6.421552896E-1,1.935443997E0
3.888410625E0,-1.562357068E0,9.955631196E-2,2.744460106E0
3.898450625E0,-2.054983079E-1,-1.249553680E0,3.351113081E0
3.908491625E0,1.668382764E0,-3.730390787E0,3.506445169E0
3.918531625E0,2.893168211E0,-4.973488808E0,3.064173698E0
3.928571625E0,3.276081562E0,-4.162914276E0,2.307436228E0
3.938642625E0,3.621638775E0,-1.441885710E0,1.642777205E0
3.948682625E0,4.272688389E0,2.027460814E0,1.230886221E0
3.958723625E0,4.333336353E0,3.920855761E0,4.504003227E-1
3.968763625E0,3.775580645E0,3.280186176E0,-5.172788501E-1
3.978803625E0,2.868540287E0,1.007514834E0,-1.045372486E0
3.988874625E0,1.964509845E0,-1.751072288E0,-8.731630445E-1
3.998914625E0,1.457345009E0,-3.978601694E0,-4.628207684E-1
4.008955625E0,1.311866403E0,-4.832471848E0,-1.240877882E-1
4.018995625E0,1.561907649E0,-3.797292948E0,-4.505662620E-2
4.029035625E0,1.997946858E0,-1.566129446E0,-1.822271049E-1
4.039075625E0,2.381698370E0,9.133501053E-1,-1.997376531E-1
4.049146625E0,2.600499153E0,2.843018055E0,9.259422868E-2
4.059186625E0,2.469277859E0,3.388916016E0,4.246893525E-1
4.069227625E0,1.923341155E0,2.518594265E0,6.479831934E-1
4.079267625E0,1.029397130E0,6.203532219E-1,7.019188404E-1
4.089307625E0,-1.768251210E-1,-1.211745024E0,6.134034991E-1
4.099378625E0,-1.573033094E0,-1.832436562E0,4.856183827E-1
